timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 48 292 0.3848561704522199 0.005143829547780088
2 62 95 0.38796251835092105 0.002037481649078965
2 85 96 0.3884726612749636 0.001527338725036409
2 109 243 0.38889504255824753 0.0011049574417524854
13 32 231 0.3868570343049919 0.003142965695008104
34 85 224 0.38004529951886634 0.009954700481133671
34 98 198 0.3857976946623641 0.0042023053376359365
47 9 126 0.38597800112310415 0.00402199887689586
47 78 190 0.3886615340716745 0.0013384659283255385
78 171 249 0.3850190766918407 0.004980923308159302
